group;year;week;value
65to74;2022;29;13498
65to74;2022;30;14050
65to74;2022;31;14451
65to74;2022;32;14751
65to74;2022;33;14924
65to74;2022;34;14950
65to74;2022;35;14831
65to74;2022;36;14887
65to74;2022;37;14859
65to74;2022;38;14871
65to74;2022;39;15015
65to74;2022;40;15325
65to74;2022;41;15617
65to74;2022;42;15810
65to74;2022;43;15939
65to74;2022;44;15857
65to74;2022;45;15899
65to74;2022;46;16083
65to74;2022;47;16443
65to74;2022;48;16897
65to74;2022;49;17507
65to74;2022;50;18437
65to74;2022;51;19588
65to74;2022;52;20597
65to74;2018;0;0
65to74;2018;1;678
65to74;2018;2;1250
65to74;2018;3;1961
65to74;2018;4;2331
65to74;2018;5;2823
65to74;2018;6;3399
65to74;2018;7;3854
65to74;2018;8;4379
65to74;2018;9;5151
65to74;2018;10;5817
65to74;2018;11;6282
65to74;2018;12;6775
65to74;2018;13;7096
65to74;2018;14;7282
65to74;2018;15;7356
65to74;2018;16;7512
65to74;2018;17;7453
65to74;2018;18;7360
65to74;2018;19;7247
65to74;2018;20;7244
65to74;2018;21;7198
65to74;2018;22;7244
65to74;2018;23;7138
65to74;2018;24;7090
65to74;2018;25;7160
65to74;2018;26;7275
65to74;2018;27;7320
65to74;2018;28;7211
65to74;2018;29;7319
65to74;2018;30;7373
65to74;2018;31;7631
65to74;2018;32;7875
65to74;2018;33;7770
65to74;2018;34;7769
65to74;2018;35;7700
65to74;2018;36;7649
65to74;2018;37;7690
65to74;2018;38;7665
65to74;2018;39;7642
65to74;2018;40;7746
65to74;2018;41;7774
65to74;2018;42;7734
65to74;2018;43;7739
65to74;2018;44;7846
65to74;2018;45;7988
65to74;2018;46;7868
65to74;2018;47;7869
65to74;2018;48;8056
65to74;2018;49;8168
65to74;2018;50;8304
65to74;2018;51;8481
65to74;2018;52;8841
65to74;2019;0;0
65to74;2019;1;281
65to74;2019;2;919
65to74;2019;3;1535
65to74;2019;4;2087
65to74;2019;5;2833
65to74;2019;6;3563
65to74;2019;7;4170
65to74;2019;8;4843
65to74;2019;9;5246
65to74;2019;10;5734
65to74;2019;11;5987
65to74;2019;12;6187
65to74;2019;13;6203
65to74;2019;14;6446
65to74;2019;15;6457
65to74;2019;16;6448
65to74;2019;17;6403
65to74;2019;18;6443
65to74;2019;19;6444
65to74;2019;20;6455
65to74;2019;21;6453
65to74;2019;22;6470
65to74;2019;23;6531
65to74;2019;24;6528
65to74;2019;25;6684
65to74;2019;26;6946
65to74;2019;27;7150
65to74;2019;28;7054
65to74;2019;29;6935
65to74;2019;30;7085
65to74;2019;31;7008
65to74;2019;32;7015
65to74;2019;33;6981
65to74;2019;34;6811
65to74;2019;35;6903
65to74;2019;36;6767
65to74;2019;37;6678
65to74;2019;38;6739
65to74;2019;39;6683
65to74;2019;40;6729
65to74;2019;41;6685
65to74;2019;42;6729
65to74;2019;43;6766
65to74;2019;44;6790
65to74;2019;45;6920
65to74;2019;46;6945
65to74;2019;47;7081
65to74;2019;48;7232
65to74;2019;49;7490
65to74;2019;50;7791
65to74;2019;51;7955
65to74;2019;52;8227
75to84;2021;0;0
75to84;2021;1;1857
75to84;2021;2;4225
75to84;2021;3;7358
75to84;2021;4;10185
75to84;2021;5;12425
75to84;2021;6;13913
75to84;2021;7;14869
75to84;2021;8;15512
75to84;2021;9;15885
75to84;2021;10;16225
75to84;2021;11;16523
75to84;2021;12;16938
75to84;2021;13;17694
75to84;2021;14;18340
75to84;2021;15;18887
75to84;2021;16;19486
75to84;2021;17;19889
75to84;2021;18;20449
75to84;2021;19;20490
75to84;2021;20;20495
75to84;2021;21;20555
75to84;2021;22;20445
75to84;2021;23;20339
75to84;2021;24;20285
75to84;2021;25;20075
75to84;2021;26;20242
75to84;2021;27;20180
75to84;2021;28;20268
75to84;2021;29;20926
75to84;2021;30;21468
75to84;2021;31;22456
75to84;2021;32;23505
75to84;2021;33;24307
75to84;2021;34;24897
75to84;2021;35;25551
75to84;2021;36;26148
75to84;2021;37;26463
75to84;2021;38;26667
75to84;2021;39;26795
75to84;2021;40;26772
75to84;2021;41;27101
75to84;2021;42;27373
75to84;2021;43;27912
75to84;2021;44;28304
75to84;2021;45;29117
75to84;2021;46;29929
75to84;2021;47;31114
75to84;2021;48;32504
75to84;2021;49;33768
75to84;2021;50;35038
75to84;2021;51;36498
75to84;2021;52;37954
75to84;2022;0;0
75to84;2022;1;1112
75to84;2022;2;2280
75to84;2022;3;3798
75to84;2022;4;5600
75to84;2022;5;7206
75to84;2022;6;8462
75to84;2022;7;9246
75to84;2022;8;9743
75to84;2022;9;9928
75to84;2022;10;10339
75to84;2022;11;10704
75to84;2022;12;11246
75to84;2022;13;12035
75to84;2022;14;12748
75to84;2022;15;13464
75to84;2022;16;13829
75to84;2022;17;14093
75to84;2022;18;14502
75to84;2022;19;14877
75to84;2022;20;15171
75to84;2022;21;15187
75to84;2022;22;15629
75to84;2022;23;15851
75to84;2022;24;16603
75to84;2022;25;17239
75to84;2022;26;17680
75to84;2022;27;18509
75to84;2022;28;20148
75to84;2022;29;21988
75to84;2022;30;23374
75to84;2022;31;24416
75to84;2022;32;25547
75to84;2022;33;26184
75to84;2022;34;26656
75to84;2022;35;26823
75to84;2022;36;27006
75to84;2022;37;27138
75to84;2022;38;27155
75to84;2022;39;27494
75to84;2022;40;27921
75to84;2022;41;28255
75to84;2022;42;28723
75to84;2022;43;29036
75to84;2022;44;28987
75to84;2022;45;29087
75to84;2022;46;29468
75to84;2022;47;30064
75to84;2022;48;30787
75to84;2022;49;31947
75to84;2022;50;33549
75to84;2022;51;35474
75to84;2022;52;37270
75to84;2018;0;0
75to84;2018;1;1476
75to84;2018;2;2977
